"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.2g115360",182,2.25009379871494,5.92198193779806e-12
"Vfaba.Hedin2.R1.1g393560",183,2.24745212846042,0.000524313040873508
"Vfaba.Hedin2.R1.1g147480",184,2.22792784225483,1.24132327061149e-17
"Vfaba.Hedin2.R1.6g122040",185,2.22574726473406,0.0408519217036015
"Vfaba.Hedin2.R1.5g025800",186,2.21892693659166,1.31272115104307e-10
"Vfaba.Hedin2.R1.2g026440",187,2.2106278555679,0.00151904558489348
"Vfaba.Hedin2.R1.6g025560",188,2.20027991888139,1.06201729918198e-05
"Vfaba.Hedin2.R1.5g193200",189,2.19963441148467,0.0459911772443956
"Vfaba.Hedin2.R1.3g130160",190,2.19349473363586,0.00840940216968289
"Vfaba.Hedin2.R1.4g098520",191,2.19182846281292,1.74972192754075e-08
"Vfaba.Hedin2.R1.4g222800",192,2.18157628252678,0.00549876156470066
"Vfaba.Hedin2.R1.1g437120",193,2.1745949423912,0.00611270812327715
"Vfaba.Hedin2.R1.1g129440",194,2.17375436019895,0.00676821102247837
"Vfaba.Hedin2.R1.3g132200",195,2.16989492164424,0.0147601784185168
"Vfaba.Hedin2.R1.5g192520",196,2.16400045118452,0.0242525902194206
"Vfaba.Hedin2.R1.4g187480",197,2.15695877777787,0.0382131815806428
"Vfaba.Hedin2.R1.3g050440",198,2.15682096977404,3.15630294155425e-17
"Vfaba.Hedin2.R1.6g093400",199,2.13262328426955,0.00996570978087853
"Vfaba.Hedin2.R1.3g222640",200,2.13117871290319,0.00163655578750028
"Vfaba.Hedin2.R1.2g098640",201,2.12869946284701,0.00687026115183721
"Vfaba.Hedin2.R1.1g126240",202,2.12494234045051,5.03060639522152e-05
"Vfaba.Hedin2.R1.5g084200",203,2.10903263137147,0.0112066495098736
"Vfaba.Hedin2.R1.2g235440",204,2.10772908941934,1.54449937301558e-06
"Vfaba.Hedin2.R1.1g068640",205,2.09072736320595,5.40287490732891e-08
"Vfaba.Hedin2.R1.1g359280",206,2.07615764338879,4.17736793096460e-09
"Vfaba.Hedin2.R1.4g219880",207,2.07290536792924,3.81911320132008e-19
"Vfaba.Hedin2.R1.1g423600",208,2.07098229303414,1.05733904571549e-21
"Vfaba.Hedin2.R1.3g094960",209,2.07059492299655,0.00399567215686099
"Vfaba.Hedin2.R1.1g021920",210,2.06386859975869,0.00297568700197243
"Vfaba.Hedin2.R1.2g247120",211,2.05682481076072,0.0199262653714164
"Vfaba.Hedin2.R1.5g175200",212,2.05631751825245,0.000820289808318184
"Vfaba.Hedin2.R1.1g135040",213,2.03538776692389,3.15356968644117e-07
"Vfaba.Hedin2.R1.3g026320",214,2.03483809569095,0.0427892448358164
"Vfaba.Hedin2.R1.5g158960",215,2.00830708652083,0.03941141788542
"Vfaba.Hedin2.R1.1g435040",216,1.97954073796684,0.00758419047544375
"Vfaba.Hedin2.R1.2g175360",217,1.96565002706001,6.56970377944617e-07
"Vfaba.Hedin2.R1.3g209440",218,1.96127867266685,0.00019662651081605
"Vfaba.Hedin2.R1.6g185560",219,1.96006311282369,0.00693814527237073
"Vfaba.Hedin2.R1.2g108240",220,1.95989964345272,0.0199060793235028
"Vfaba.Hedin2.R1.2g259520",221,1.95785358869544,0.0305711642816179
"Vfaba.Hedin2.R1.1g205400",222,1.94305540564754,7.9419331230873e-06
"Vfaba.Hedin2.R1.5g117720",223,1.94064022985449,0.0201990478242662
"Vfaba.Hedin2.R1.5g018480",224,1.92446419403113,0.00583784614001423
